team2,team1,notsure1,date,H_A_N1,points1,H_A_N2,points2,team1_name,team2_name,team1_madness,team2_madness
1,41,736699,2017-01-05,-1,81,1,76,Cent_Arkansas,Abilene_Chr,0,0
1,41,736734,2017-02-09,1,84,-1,73,Cent_Arkansas,Abilene_Chr,0,0
1,43,736655,2016-11-22,-1,66,1,65,Charleston_So,Abilene_Chr,0,0
1,64,736680,2016-12-17,1,88,-1,86,CS_Sacramento,Abilene_Chr,0,0
1,116,736757,2017-03-04,1,81,-1,72,Houston_Bap,Abilene_Chr,0,0
1,123,736720,2017-01-26,1,82,-1,79,Incarnate_Word,Abilene_Chr,0,0
1,123,736754,2017-03-01,-1,89,1,75,Incarnate_Word,Abilene_Chr,0,0
1,198,736663,2016-11-30,1,64,-1,55,New_Mexico,Abilene_Chr,0,0
1,200,736692,2016-12-29,1,75,-1,66,New_Orleans,Abilene_Chr,0,0
1,202,736713,2017-01-19,1,62,-1,59,Nicholls_St,Abilene_Chr,0,0
1,218,736658,2016-11-25,1,72,-1,64,Oklahoma,Abilene_Chr,0,0
1,252,736682,2016-12-19,1,86,-1,51,San_Francisco,Abilene_Chr,0,0
1,258,736694,2016-12-31,1,75,-1,53,SE_Louisiana,Abilene_Chr,0,0
1,258,736706,2017-01-12,-1,56,1,50,SE_Louisiana,Abilene_Chr,0,0
1,284,736722,2017-01-28,1,72,-1,60,TAM_C._Christi,Abilene_Chr,0,0
1,284,736747,2017-02-22,-1,56,1,44,TAM_C._Christi,Abilene_Chr,0,0
2,3,736658,2016-11-25,0,84,0,75,Akron,Air_Force,0,0
2,17,736670,2016-12-07,1,79,-1,71,Army,Air_Force,0,0
2,25,736736,2017-02-11,1,76,-1,66,Boise_St,Air_Force,0,0
2,25,736757,2017-03-04,-1,98,1,70,Boise_St,Air_Force,0,0
2,54,736682,2016-12-19,-1,75,1,68,Colorado,Air_Force,0,0
2,55,736701,2017-01-07,1,85,-1,58,Colorado_St,Air_Force,0,0
2,70,736673,2016-12-10,-1,77,1,65,Denver,Air_Force,0,0
2,81,736659,2016-11-26,0,70,0,63,East_Carolina,Air_Force,0,0
2,95,736726,2017-02-01,1,73,-1,64,Fresno_St,Air_Force,0,0
2,196,736712,2017-01-18,1,83,-1,76,Nevada,Air_Force,1,0
2,196,736740,2017-02-15,-1,78,1,59,Nevada,Air_Force,1,0
2,198,736733,2017-02-08,-1,74,1,67,New_Mexico,Air_Force,0,0
