team2,team1,notsure1,date,H_A_N1,points1,H_A_N2,points2,team1_name,team2_name,team1_madness,team2_madness
1,55,736291,2015-11-24,1,108,-1,100,Colorado_St,Abilene_Chr,0,0
1,73,736319,2015-12-22,1,87,-1,70,Drake,Abilene_Chr,0,0
1,116,736377,2016-02-18,1,73,-1,71,Houston_Bap,Abilene_Chr,0,0
1,123,736351,2016-01-23,1,74,-1,60,Incarnate_Word,Abilene_Chr,0,0
1,123,736391,2016-03-03,-1,74,1,70,Incarnate_Word,Abilene_Chr,0,0
1,195,736302,2015-12-05,1,73,-1,63,Nebraska,Abilene_Chr,0,0
1,197,736300,2015-12-03,-1,86,1,75,New_Hampshire,Abilene_Chr,0,0
1,202,736337,2016-01-09,1,63,-1,62,Nicholls_St,Abilene_Chr,0,0
1,215,736295,2015-11-28,0,85,0,57,Oakland,Abilene_Chr,0,0
1,229,736289,2015-11-22,1,87,-1,57,Portland,Abilene_Chr,0,0
1,248,736353,2016-01-25,1,72,-1,51,Sam_Houston_St,Abilene_Chr,0,0
1,248,736374,2016-02-15,-1,84,1,71,Sam_Houston_St,Abilene_Chr,0,0
1,258,736365,2016-02-06,1,81,-1,60,SE_Louisiana,Abilene_Chr,0,0
1,262,736344,2016-01-16,1,97,-1,62,SF_Austin,Abilene_Chr,1,0
1,284,736382,2016-02-23,1,65,-1,59,TAM_C._Christi,Abilene_Chr,0,0
1,284,736393,2016-03-05,-1,74,1,69,TAM_C._Christi,Abilene_Chr,0,0
1,285,736317,2015-12-20,1,80,-1,69,TCU,Abilene_Chr,0,0
1,304,736315,2015-12-18,-1,60,1,56,UC_Riverside,Abilene_Chr,0,0
2,17,736309,2015-12-12,-1,90,1,80,Army,Air_Force,0,0
2,54,736292,2015-11-25,1,81,-1,70,Colorado,Air_Force,1,0
2,55,736348,2016-01-20,-1,83,1,79,Colorado_St,Air_Force,0,0
2,55,736393,2016-03-05,1,87,-1,73,Colorado_St,Air_Force,0,0
2,95,736351,2016-01-23,-1,56,1,55,Fresno_St,Air_Force,0,0
2,95,736383,2016-02-24,1,64,-1,63,Fresno_St,Air_Force,0,0
2,196,736337,2016-01-09,-1,86,1,63,Nevada,Air_Force,0,0
2,196,736369,2016-02-10,1,72,-1,52,Nevada,Air_Force,0,0
2,198,736355,2016-01-27,1,84,-1,55,New_Mexico,Air_Force,0,0
2,217,736305,2015-12-08,1,74,-1,50,Ohio_St,Air_Force,0,0
2,246,736280,2015-11-13,1,77,-1,75,S_Illinois,Air_Force,0,0
2,251,736372,2016-02-13,1,70,-1,61,San_Diego_St,Air_Force,1,0
2,253,736358,2016-01-30,1,75,-1,54,San_Jose_St,Air_Force,0,0
2,313,736344,2016-01-16,1,100,-1,64,UNLV,Air_Force,0,0
2,318,736341,2016-01-13,1,79,-1,60,Utah_St,Air_Force,0,0
2,318,736390,2016-03-02,-1,78,1,65,Utah_St,Air_Force,0,0
2,348,736334,2016-01-06,1,64,-1,52,Wyoming,Air_Force,0,0
3,36,736340,2016-01-12,1,92,-1,81,C_Michigan,Akron,0,1
3,138,736379,2016-02-20,1,85,-1,76,Kent,Akron,0,1
3,168,736382,2016-02-23,1,77,-1,64,Miami_OH,Akron,0,1
3,188,736372,2016-02-13,1,80,-1,79,N_Illinois,Akron,0,1
3,295,736344,2016-01-16,1,78,-1,64,Toledo,Akron,0,1
3,326,736289,2015-11-22,1,75,-1,56,Villanova,Akron,1,1
3,339,736291,2015-11-24,1,66,-1,63,WI_Green_Bay,Akron,0,1
4,15,736390,2016-03-02,-1,62,1,61,Arkansas,Alabama,0,0
4,18,736347,2016-01-19,1,83,-1,77,Auburn,Alabama,0,0
4,67,736284,2015-11-17,1,80,-1,48,Dayton,Alabama,1,0
4,102,736393,2016-03-05,1,70,-1,63,Georgia,Alabama,0,0
4,139,736337,2016-01-09,-1,77,1,61,Kentucky,Alabama,1,0
4,139,736382,2016-02-23,1,78,-1,53,Kentucky,Alabama,1,0
4,154,736351,2016-01-23,-1,72,1,70,LSU,Alabama,0,0
4,172,736335,2016-01-07,1,74,-1,66,Mississippi,Alabama,0,0
4,173,736379,2016-02-20,-1,67,1,61,Mississippi_St,Alabama,0,0
4,222,736318,2015-12-21,0,72,0,68,Oregon,Alabama,1,0
4,266,736358,2016-01-30,1,78,-1,64,South_Carolina,Alabama,1,0
4,324,736344,2016-01-16,1,71,-1,63,Vanderbilt,Alabama,1,0
4,349,736293,2015-11-26,0,64,0,45,Xavier,Alabama,1,0
