team2,team1,notsure1,date,H_A_N1,points1,H_A_N2,points2,team1_name,team2_name,team1_madness,team2_madness
1,76,735546,2013-11-09,1,94,-1,75,Duquesne,Abilene_Chr,0,0
1,123,735642,2014-02-13,1,80,-1,68,Incarnate_Word,Abilene_Chr,0,0
1,123,735665,2014-03-08,-1,59,1,56,Incarnate_Word,Abilene_Chr,0,0
1,127,735554,2013-11-17,1,103,-1,41,Iowa,Abilene_Chr,1,0
1,142,735621,2014-01-23,-1,65,1,57,Lamar,Abilene_Chr,0,0
1,161,735550,2013-11-13,1,67,-1,44,Maryland,Abilene_Chr,0,0
1,163,735658,2014-03-01,1,95,-1,91,McNeese_St,Abilene_Chr,0,0
1,200,735607,2014-01-09,1,87,-1,81,New_Orleans,Abilene_Chr,0,0
1,202,735656,2014-02-27,1,79,-1,60,Nicholls_St,Abilene_Chr,0,0
1,213,735630,2014-02-01,1,84,-1,66,Northwestern_LA,Abilene_Chr,0,0
1,221,735614,2014-01-16,-1,82,1,59,Oral_Roberts,Abilene_Chr,0,0
1,248,735623,2014-01-25,-1,70,1,51,Sam_Houston_St,Abilene_Chr,0,0
1,258,735609,2014-01-11,1,85,-1,77,SE_Louisiana,Abilene_Chr,0,0
1,262,735628,2014-01-30,1,64,-1,48,SF_Austin,Abilene_Chr,1,0
1,272,735548,2013-11-11,1,75,-1,47,St_Bonaventure,Abilene_Chr,0,0
1,284,735637,2014-02-08,-1,71,1,69,TAM_C._Christi,Abilene_Chr,0,0
1,285,735556,2013-11-19,1,71,-1,64,TCU,Abilene_Chr,0,0
1,296,735567,2013-11-30,1,74,-1,47,Towson,Abilene_Chr,0,0
1,349,735562,2013-11-25,1,93,-1,65,Xavier,Abilene_Chr,1,0
2,25,735627,2014-01-29,1,69,-1,58,Boise_St,Air_Force,0,0
2,54,735567,2013-11-30,-1,81,1,57,Colorado,Air_Force,1,0
2,55,735616,2014-01-18,1,74,-1,68,Colorado_St,Air_Force,0,0
2,55,735637,2014-02-08,-1,68,1,56,Colorado_St,Air_Force,0,0
2,95,735606,2014-01-08,1,71,-1,65,Fresno_St,Air_Force,0,0
2,95,735634,2014-02-05,-1,68,1,51,Fresno_St,Air_Force,0,0
2,131,735551,2013-11-14,-1,84,1,82,Jackson_St,Air_Force,0,0
2,196,735630,2014-02-01,1,69,-1,56,Nevada,Air_Force,0,0
2,196,735651,2014-02-22,-1,75,1,56,Nevada,Air_Force,0,0
2,198,735662,2014-03-05,1,80,-1,52,New_Mexico,Air_Force,1,0
2,240,735564,2013-11-27,-1,83,1,60,Richmond,Air_Force,0,0
2,251,735610,2014-01-12,-1,79,1,72,San_Diego_St,Air_Force,1,0
2,251,735644,2014-02-15,1,64,-1,56,San_Diego_St,Air_Force,1,0
2,302,735588,2013-12-21,1,80,-1,74,UC_Davis,Air_Force,0,0
2,313,735658,2014-03-01,-1,93,1,67,UNLV,Air_Force,0,0
2,329,735546,2013-11-09,1,71,-1,63,VMI,Air_Force,0,0
2,348,735620,2014-01-22,-1,66,1,59,Wyoming,Air_Force,0,0
3,33,735648,2014-02-19,1,96,-1,90,Buffalo,Akron,0,0
3,128,735590,2013-12-23,0,83,0,60,Iowa_St,Akron,1,0
