team2,team1,notsure1,date,H_A_N1,points1,H_A_N2,points2,team1_name,team2_name,team1_madness,team2_madness
1,34,734150,2010-01-13,-1,67,1,49,BYU,Air_Force,1,0
1,34,734181,2010-02-13,1,91,-1,48,BYU,Air_Force,1,0
1,55,734146,2010-01-09,1,70,-1,48,Colorado_St,Air_Force,0,0
1,55,734177,2010-02-09,-1,51,1,47,Colorado_St,Air_Force,0,0
1,173,734111,2009-12-05,1,58,-1,48,Missouri_St,Air_Force,0,0
1,183,734097,2009-11-21,-1,70,1,46,N_Colorado,Air_Force,0,0
1,193,734157,2010-01-20,-1,73,1,50,New_Mexico,Air_Force,1,0
1,193,734188,2010-02-20,1,59,-1,56,New_Mexico,Air_Force,1,0
1,205,734125,2009-12-19,-1,60,1,52,Northern_Arizona,Air_Force,0,0
1,246,734170,2010-02-02,1,70,-1,48,San_Diego_St,Air_Force,1,0
1,246,734202,2010-03-06,-1,61,1,42,San_Diego_St,Air_Force,1,0
1,280,734143,2010-01-06,1,59,-1,50,TCU,Air_Force,0,0
1,280,734174,2010-02-06,-1,65,1,51,TCU,Air_Force,0,0
1,308,734163,2010-01-26,1,60,-1,50,UNLV,Air_Force,1,0
1,308,734195,2010-02-27,-1,77,1,47,UNLV,Air_Force,1,0
1,312,734160,2010-01-23,1,71,-1,54,Utah,Air_Force,0,0
1,312,734192,2010-02-24,-1,54,1,43,Utah,Air_Force,0,0
1,315,734135,2009-12-29,1,58,-1,47,UTEP,Air_Force,1,0
1,332,734118,2009-12-12,0,75,0,68,Washington_St,Air_Force,0,0
1,344,734198,2010-03-02,1,58,-1,49,Wyoming,Air_Force,0,0
2,18,734091,2009-11-15,-1,80,1,77,Austin_Peay,Akron,0,0
2,32,734154,2010-01-17,1,78,-1,65,Buffalo,Akron,0,0
2,79,734169,2010-02-01,-1,62,1,59,E_Michigan,Akron,0,0
2,136,734160,2010-01-23,1,87,-1,70,Kent,Akron,0,0
2,136,734201,2010-03-05,-1,74,1,61,Kent,Akron,0,0
2,189,734096,2009-11-20,0,66,0,45,NC_State,Akron,0,0
2,233,734142,2010-01-05,-1,68,1,63,Rhode_Island,Akron,0,0
2,286,734110,2009-12-04,1,74,-1,62,Texas_A&M,Akron,1,0
2,317,734188,2010-02-20,1,70,-1,53,VA_Commonwealth,Akron,0,0
3,14,734153,2010-01-16,1,71,-1,59,Arkansas,Alabama,0,0
3,17,734167,2010-01-30,1,58,-1,57,Auburn,Alabama,0,0
3,59,734090,2009-11-14,-1,71,1,67,Cornell,Alabama,1,0
3,90,734172,2010-02-04,-1,66,1,65,Florida,Alabama,1,0
