team2,team1,notsure1,date,H_A_N1,points1,H_A_N2,points2,team1_name,team2_name,team1_madness,team2_madness
1,34,734510,2011-01-08,1,76,-1,66,BYU,Air_Force,1,0
1,34,734542,2011-02-09,-1,90,1,52,BYU,Air_Force,1,0
1,55,734528,2011-01-26,1,69,-1,66,Colorado_St,Air_Force,0,0
1,193,734534,2011-02-01,-1,75,1,61,New_Mexico,Air_Force,0,0
1,193,734566,2011-03-05,1,66,-1,61,New_Mexico,Air_Force,0,0
1,204,734493,2010-12-22,1,74,-1,63,Northern_Arizona,Air_Force,0,0
1,245,734521,2011-01-19,1,68,-1,55,San_Diego_St,Air_Force,1,0
1,245,734552,2011-02-19,-1,70,1,58,San_Diego_St,Air_Force,1,0
1,307,734517,2011-01-15,-1,64,1,52,UNLV,Air_Force,1,0
1,307,734548,2011-02-15,1,49,-1,42,UNLV,Air_Force,1,0
1,314,734500,2010-12-29,1,71,-1,54,UTEP,Air_Force,0,0
1,341,734479,2010-12-08,1,76,-1,61,Wright_St,Air_Force,0,0
1,342,734556,2011-02-23,1,63,-1,61,Wyoming,Air_Force,0,0
2,32,734518,2011-01-16,1,73,-1,70,Buffalo,Akron,0,1
2,50,734465,2010-11-24,-1,64,1,51,Cleveland_St,Akron,0,1
2,67,734457,2010-11-16,1,76,-1,68,Dayton,Akron,0,1
2,79,734535,2011-02-02,1,60,-1,56,E_Michigan,Akron,0,1
2,136,734566,2011-03-05,1,79,-1,68,Kent,Akron,0,1
2,164,734494,2010-12-23,0,69,0,61,Miami_FL,Akron,0,1
2,165,734521,2011-01-19,1,84,-1,76,Miami_OH,Akron,0,1
2,168,734486,2010-12-15,1,66,-1,58,Minnesota,Akron,0,1
2,185,734528,2011-01-26,1,83,-1,74,N_Illinois,Akron,0,1
2,210,734514,2011-01-12,-1,79,1,70,Ohio,Akron,0,1
2,210,734562,2011-03-01,1,80,-1,55,Ohio,Akron,0,1
2,280,734483,2010-12-12,1,82,-1,47,Temple,Akron,1,1
3,14,734517,2011-01-15,1,70,-1,65,Arkansas,Alabama,0,0
3,90,734562,2011-03-01,1,78,-1,51,Florida,Alabama,1,0
3,125,734461,2010-11-20,0,55,0,47,Iowa,Alabama,0,0
3,169,734559,2011-02-26,1,68,-1,63,Mississippi,Alabama,0,0
3,213,734489,2010-12-18,0,68,0,60,Oklahoma_St,Alabama,0,0
3,228,734482,2010-12-11,1,82,-1,70,Providence,Alabama,0,0
3,229,734475,2010-12-04,1,66,-1,47,Purdue,Alabama,1,0
3,255,734460,2010-11-19,0,83,0,78,Seton_Hall,Alabama,0,0
3,273,734463,2010-11-22,0,50,0,49,St_Peter's,Alabama,1,0
3,318,734543,2011-02-10,1,81,-1,77,Vanderbilt,Alabama,1,0
4,3,734468,2010-11-27,1,76,-1,50,Alabama,Alabama_A&M,0,0
4,5,734545,2011-02-12,1,82,-1,68,Alabama_St,Alabama_A&M,1,0
4,13,734512,2011-01-10,1,61,-1,53,Ark_Pine_Bluff,Alabama_A&M,0,0
4,106,734564,2011-03-03,1,76,-1,69,Grambling,Alabama_A&M,0,0
4,129,734508,2011-01-06,-1,57,1,55,Jackson_St,Alabama_A&M,0,0
4,129,734566,2011-03-05,1,72,-1,64,Jackson_St,Alabama_A&M,0,0
4,179,734538,2011-02-05,-1,63,1,60,MS_Valley_St,Alabama_A&M,0,0
4,189,734499,2010-12-28,1,82,-1,51,NC_State,Alabama_A&M,0,0
4,282,734478,2010-12-07,-1,74,1,68,Tennessee_St,Alabama_A&M,0,0
4,294,734531,2011-01-29,1,65,-1,61,TX_Southern,Alabama_A&M,0,0
4,294,734559,2011-02-26,-1,83,1,78,TX_Southern,Alabama_A&M,0,0
4,295,734490,2010-12-19,1,58,-1,40,UAB,Alabama_A&M,1,0
4,335,734484,2010-12-13,1,71,-1,49,Wichita_St,Alabama_A&M,0,0
4,339,734456,2010-11-15,1,83,-1,61,WKU,Alabama_A&M,0,0
5,4,734517,2011-01-15,1,75,-1,60,Alabama_A&M,Alabama_St,0,1
5,15,734482,2010-12-11,1,77,-1,53,Arkansas_St,Alabama_St,0,1
5,21,734491,2010-12-20,-1,66,1,53,Belmont,Alabama_St,1,1
5,60,734453,2010-11-12,1,71,-1,57,Creighton,Alabama_St,0,1
5,106,734566,2011-03-05,1,74,-1,73,Grambling,Alabama_St,0,1
5,126,734455,2010-11-14,1,74,-1,47,Iowa_St,Alabama_St,0,1
5,129,734506,2011-01-04,-1,58,1,52,Jackson_St,Alabama_St,0,1
5,151,734463,2010-11-22,1,74,-1,46,Loyola-Chicago,Alabama_St,0,1
5,170,734485,2010-12-14,1,67,-1,46,Mississippi_St,Alabama_St,0,1
5,179,734512,2011-01-10,1,74,-1,70,MS_Valley_St,Alabama_St,0,1
5,204,734457,2010-11-16,0,74,0,46,Northern_Arizona,Alabama_St,0,1
5,225,734531,2011-01-29,1,69,-1,61,Prairie_View,Alabama_St,0,1
5,258,734493,2010-12-22,1,49,-1,38,SMU,Alabama_St,0,1
5,264,734524,2011-01-22,-1,64,1,52,Southern_Univ,Alabama_St,0,1
5,292,734471,2010-11-30,1,84,-1,69,Tulane,Alabama_St,0,1
5,294,734533,2011-01-31,1,73,-1,59,TX_Southern,Alabama_St,0,1
5,299,734468,2010-11-27,1,84,-1,48,UCF,Alabama_St,0,1
6,8,734456,2010-11-15,-1,57,1,44,American_Univ,Albany_NY,0,0
6,26,734517,2011-01-15,-1,70,1,67,Boston_Univ,Albany_NY,1,0
6,26,734543,2011-02-10,0,63,0,44,Boston_Univ,Albany_NY,1,0
6,59,734453,2010-11-12,-1,65,1,61,Cornell,Albany_NY,0,0
6,72,734467,2010-11-26,1,84,-1,82,Detroit,Albany_NY,0,0
6,104,734458,2010-11-17,1,78,-1,51,Georgia_Tech,Albany_NY,0,0
6,108,734511,2011-01-09,1,62,-1,42,Hartford,Albany_NY,0,0
6,124,734464,2010-11-23,-1,86,1,65,Iona,Albany_NY,0,0
6,153,734513,2011-01-11,-1,66,1,64,Maine,Albany_NY,0,0
6,192,734535,2011-02-02,1,62,-1,59,New_Hampshire,Albany_NY,0,0
6,276,734566,2011-03-05,0,67,0,61,Stony_Brook,Albany_NY,0,0
6,319,734508,2011-01-06,1,60,-1,48,Vermont,Albany_NY,0,0
6,319,734531,2011-01-29,-1,63,1,54,Vermont,Albany_NY,0,0
