team2,team1,notsure1,date,H_A_N1,points1,H_A_N2,points2,team1_name,team2_name,team1_madness,team2_madness
1,34,733806,2009-02-03,-1,71,1,50,BYU,Air_Force,1,0
1,34,733838,2009-03-07,1,54,-1,49,BYU,Air_Force,1,0
1,55,733792,2009-01-20,1,67,-1,56,Colorado_St,Air_Force,0,0
1,55,733824,2009-02-21,-1,71,1,66,Colorado_St,Air_Force,0,0
1,193,733782,2009-01-10,1,78,-1,53,New_Mexico,Air_Force,0,0
1,193,733814,2009-02-11,-1,76,1,66,New_Mexico,Air_Force,0,0
1,224,733768,2008-12-27,0,43,0,42,Portland,Air_Force,0,0
1,246,733775,2009-01-03,-1,61,1,44,San_Diego_St,Air_Force,0,0
1,246,733810,2009-02-07,1,65,-1,34,San_Diego_St,Air_Force,0,0
1,275,733737,2008-11-26,1,76,-1,57,Stanford,Air_Force,0,0
1,277,733772,2008-12-31,-1,67,1,64,Stony_Brook,Air_Force,0,0
1,280,733789,2009-01-17,-1,57,1,54,TCU,Air_Force,0,0
1,280,733821,2009-02-18,1,62,-1,50,TCU,Air_Force,0,0
1,308,733803,2009-01-31,-1,59,1,38,UNLV,Air_Force,0,0
1,308,733835,2009-03-04,1,46,-1,43,UNLV,Air_Force,0,0
1,312,733786,2009-01-14,-1,57,1,36,Utah,Air_Force,1,0
1,312,733817,2009-02-14,1,74,-1,59,Utah,Air_Force,1,0
1,342,733734,2008-11-23,-1,74,1,61,Wofford,Air_Force,0,0
1,344,733799,2009-01-27,1,72,-1,59,Wyoming,Air_Force,0,0
1,344,733831,2009-02-28,-1,65,1,62,Wyoming,Air_Force,0,0
2,27,733832,2009-03-01,-1,50,1,46,Bowling_Green,Akron,0,1
2,32,733785,2009-01-13,-1,63,1,61,Buffalo,Akron,0,1
2,67,733747,2008-12-06,-1,54,1,50,Dayton,Akron,1,1
2,78,733740,2008-11-29,0,69,0,57,E_Kentucky,Akron,0,1
2,136,733839,2009-03-08,1,67,-1,63,Kent,Akron,0,1
2,165,733782,2009-01-10,1,64,-1,51,Miami_OH,Akron,0,1
2,185,733818,2009-02-15,1,83,-1,79,N_Illinois,Akron,0,1
2,211,733792,2009-01-20,1,70,-1,65,Ohio,Akron,0,1
2,223,733732,2008-11-21,1,86,-1,67,Pittsburgh,Akron,1,1
2,233,733775,2009-01-03,1,79,-1,50,Rhode_Island,Akron,0,1
2,317,733758,2008-12-17,1,73,-1,69,VA_Commonwealth,Akron,1,1
2,318,733824,2009-02-21,1,74,-1,66,Valparaiso,Akron,0,1
3,14,733801,2009-01-29,1,89,-1,80,Arkansas,Alabama,0,0
