team2,team1,notsure1,date,H_A_N1,points1,H_A_N2,points2,team1_name,team2_name,team1_madness,team2_madness
1,33,733068,2007-01-27,1,61,-1,52,BYU,Air_Force,1,0
1,33,733099,2007-02-27,-1,62,1,58,BYU,Air_Force,1,0
1,73,733000,2006-11-20,0,71,0,56,Duke,Air_Force,1,0
1,238,733078,2007-02-06,1,62,-1,41,San_Diego_St,Air_Force,0,0
1,269,733096,2007-02-24,1,71,-1,66,TCU,Air_Force,0,0
1,297,733092,2007-02-20,1,60,-1,50,UNLV,Air_Force,1,0
1,301,733057,2007-01-16,1,85,-1,79,Utah,Air_Force,0,0
2,12,732993,2006-11-13,0,81,0,79,Ark_Little_Rock,Akron,0,0
2,114,733026,2006-12-16,1,86,-1,80,IL_Chicago,Akron,0,0
2,160,733093,2007-02-21,1,64,-1,62,Miami_OH,Akron,1,0
2,185,733032,2006-12-22,-1,73,1,71,Nevada,Akron,1,0
2,204,733047,2007-01-06,1,77,-1,72,Ohio,Akron,0,0
2,279,733082,2007-02-10,1,68,-1,65,Toledo,Akron,0,0
3,14,733047,2007-01-06,1,88,-1,61,Arkansas,Alabama,1,0
3,14,733068,2007-01-27,-1,63,1,57,Arkansas,Alabama,1,0
3,17,733064,2007-01-23,1,81,-1,57,Auburn,Alabama,0,0
3,17,733096,2007-02-24,-1,86,1,77,Auburn,Alabama,0,0
3,86,733086,2007-02-14,1,76,-1,67,Florida,Alabama,1,0
3,164,733082,2007-02-10,1,75,-1,69,Mississippi,Alabama,0,0
3,165,733104,2007-03-04,1,91,-1,67,Mississippi_St,Alabama,0,0
3,202,733017,2006-12-07,1,99,-1,85,Notre_Dame,Alabama,1,0
3,271,733093,2007-02-21,1,69,-1,66,Tennessee,Alabama,1,0
3,308,733058,2007-01-17,1,94,-1,73,Vanderbilt,Alabama,1,0
4,5,733082,2007-02-10,1,74,-1,70,Alabama_St,Alabama_A&M,0,0
4,7,733061,2007-01-20,-1,59,1,58,Alcorn_St,Alabama_A&M,0,0
4,7,733089,2007-02-17,1,86,-1,77,Alcorn_St,Alabama_A&M,0,0
4,13,733049,2007-01-08,1,52,-1,45,Ark_Pine_Bluff,Alabama_A&M,0,0
4,13,733077,2007-02-05,-1,66,1,65,Ark_Pine_Bluff,Alabama_A&M,0,0
4,98,733004,2006-11-24,1,80,-1,36,Georgia,Alabama_A&M,0,0
4,102,733043,2007-01-02,-1,63,1,52,Grambling,Alabama_A&M,0,0
4,102,733101,2007-03-01,1,93,-1,69,Grambling,Alabama_A&M,0,0
4,123,732990,2006-11-10,0,86,0,47,IUPUI,Alabama_A&M,0,0
4,124,733045,2007-01-04,-1,68,1,52,Jackson_St,Alabama_A&M,1,0
4,124,733103,2007-03-03,1,81,-1,70,Jackson_St,Alabama_A&M,1,0
4,164,733032,2006-12-22,1,81,-1,57,Mississippi,Alabama_A&M,0,0
4,174,733047,2007-01-06,1,55,-1,41,MS_Valley_St,Alabama_A&M,0,0
4,174,733075,2007-02-03,-1,65,1,54,MS_Valley_St,Alabama_A&M,0,0
4,184,733027,2006-12-17,1,82,-1,55,Nebraska,Alabama_A&M,0,0
4,219,733070,2007-01-29,1,60,-1,58,Prairie_View,Alabama_A&M,0,0
4,220,732992,2006-11-12,0,56,0,39,Princeton,Alabama_A&M,0,0
4,254,733091,2007-02-19,1,62,-1,60,Southern_Univ,Alabama_A&M,0,0
4,284,733068,2007-01-27,1,68,-1,66,TX_Southern,Alabama_A&M,0,0
4,308,733039,2006-12-29,1,86,-1,47,Vanderbilt,Alabama_A&M,1,0
5,3,733019,2006-12-09,1,92,-1,58,Alabama,Alabama_St,0,0
5,4,733054,2007-01-13,1,61,-1,55,Alabama_A&M,Alabama_St,0,0
5,7,733063,2007-01-22,-1,80,1,77,Alcorn_St,Alabama_St,0,0
5,7,733091,2007-02-19,1,66,-1,65,Alcorn_St,Alabama_St,0,0
5,54,733039,2006-12-29,0,61,0,56,Colorado_St,Alabama_St,0,0
5,99,733001,2006-11-21,1,70,-1,59,Georgia_St,Alabama_St,0,0
5,99,733026,2006-12-16,-1,64,1,56,Georgia_St,Alabama_St,0,0
5,102,733103,2007-03-03,1,76,-1,70,Grambling,Alabama_St,0,0
5,124,733043,2007-01-02,-1,81,1,68,Jackson_St,Alabama_St,1,0
5,124,733101,2007-03-01,1,69,-1,65,Jackson_St,Alabama_St,1,0
5,130,733040,2006-12-30,0,78,0,72,Kennesaw,Alabama_St,0,0
5,165,733028,2006-12-18,1,74,-1,59,Mississippi_St,Alabama_St,0,0
5,168,733010,2006-11-30,1,89,-1,49,Missouri_St,Alabama_St,0,0
5,174,733049,2007-01-08,1,59,-1,57,MS_Valley_St,Alabama_St,0,0
5,174,733077,2007-02-05,-1,52,1,44,MS_Valley_St,Alabama_St,0,0
5,219,733068,2007-01-27,1,50,-1,47,Prairie_View,Alabama_St,0,0
5,219,733096,2007-02-24,-1,74,1,60,Prairie_View,Alabama_St,0,0
5,242,733011,2006-12-01,0,71,0,45,Santa_Clara,Alabama_St,0,0
5,253,732998,2006-11-18,1,80,-1,43,Southern_Miss,Alabama_St,0,0
6,23,733047,2007-01-06,1,83,-1,72,Binghamton,Albany_NY,0,1
6,24,733088,2007-02-16,1,83,-1,82,Boise_St,Albany_NY,0,1
6,56,733006,2006-11-26,1,86,-1,55,Connecticut,Albany_NY,0,1
6,234,733001,2006-11-21,1,90,-1,71,Sacred_Heart,Albany_NY,0,1
6,248,733012,2006-12-02,1,76,-1,75,Siena,Albany_NY,0,1
6,303,733040,2006-12-30,1,73,-1,66,Utah_Valley,Albany_NY,0,1
6,306,733016,2006-12-06,-1,75,1,57,VA_Commonwealth,Albany_NY,1,1
6,309,733054,2007-01-13,1,75,-1,66,Vermont,Albany_NY,0,1
6,309,733083,2007-02-11,-1,67,1,63,Vermont,Albany_NY,0,1
7,13,733084,2007-02-12,1,78,-1,56,Ark_Pine_Bluff,Alcorn_St,0,0
7,20,733007,2006-11-27,1,90,-1,59,Baylor,Alcorn_St,0,0
7,23,733039,2006-12-29,0,78,0,65,Binghamton,Alcorn_St,0,0
7,88,732997,2006-11-17,1,74,-1,61,Florida_Intl,Alcorn_St,0,0
7,102,733049,2007-01-08,1,61,-1,58,Grambling,Alcorn_St,0,0
7,102,733077,2007-02-05,-1,83,1,76,Grambling,Alcorn_St,0,0
7,124,733047,2007-01-06,1,86,-1,70,Jackson_St,Alcorn_St,1,0
7,159,732994,2006-11-14,1,96,-1,57,Miami_FL,Alcorn_St,0,0
7,174,733082,2007-02-10,1,76,-1,63,MS_Valley_St,Alcorn_St,0,0
7,187,733038,2006-12-28,1,91,-1,59,New_Mexico,Alcorn_St,0,0
7,219,733101,2007-03-01,1,78,-1,73,Prairie_View,Alcorn_St,0,0
7,224,732998,2006-11-18,0,77,0,49,Radford,Alcorn_St,0,0
7,235,733012,2006-12-02,-1,81,1,78,Sam_Houston_St,Alcorn_St,0,0
7,254,733096,2007-02-24,1,61,-1,56,Southern_Univ,Alcorn_St,0,0
7,256,732990,2006-11-10,0,68,0,59,St_Bonaventure,Alcorn_St,0,0
7,274,732989,2006-11-09,1,103,-1,44,Texas,Alcorn_St,1,0
7,276,733009,2006-11-29,1,77,-1,71,Texas_St,Alcorn_St,0,0
7,284,733045,2007-01-04,-1,72,1,69,TX_Southern,Alcorn_St,0,0
8,16,733058,2007-01-17,1,60,-1,55,Army,American_Univ,0,0
8,30,733050,2007-01-09,1,66,-1,60,Bucknell,American_Univ,0,0
8,30,733078,2007-02-06,-1,69,1,66,Bucknell,American_Univ,0,0
8,109,733061,2007-01-20,-1,69,1,64,Holy_Cross,American_Univ,1,0
8,109,733072,2007-01-31,1,58,-1,47,Holy_Cross,American_Univ,1,0
8,109,733104,2007-03-04,1,55,-1,53,Holy_Cross,American_Univ,1,0
8,136,733047,2007-01-06,1,51,-1,49,Lehigh,American_Univ,0,0
8,136,733075,2007-02-03,-1,56,1,54,Lehigh,American_Univ,0,0
8,141,733040,2006-12-30,1,81,-1,79,Longwood,American_Univ,0,0
8,153,733033,2006-12-23,1,66,-1,54,Maryland,American_Univ,1,0
8,227,732997,2006-11-17,1,61,-1,50,Richmond,American_Univ,0,0
8,311,733038,2006-12-28,1,91,-1,70,Virginia,American_Univ,1,0
8,334,733005,2006-11-25,1,86,-1,68,Xavier,American_Univ,1,0
8,335,733019,2006-12-09,1,70,-1,53,Yale,American_Univ,0,0
9,48,732997,2006-11-17,1,79,-1,49,Clemson,Appalachian_St,0,0
9,51,733102,2007-03-02,0,89,0,87,Col_Charleston,Appalachian_St,0,0
9,80,733054,2007-01-13,-1,64,1,63,Elon,Appalachian_St,0,0
9,92,733075,2007-02-03,1,76,-1,72,Furman,Appalachian_St,0,0
9,295,733059,2007-01-18,1,80,-1,76,UNC_Greensboro,Appalachian_St,0,0
