team2,team1,notsure1,date,H_A_N1,points1,H_A_N2,points2,team1_name,team2_name,team1_madness,team2_madness
1,17,731921,2003-12-07,1,68,-1,49,Auburn,Air_Force,0,1
1,21,731914,2003-11-30,1,46,-1,38,Belmont,Air_Force,0,1
1,34,731999,2004-02-23,1,67,-1,61,BYU,Air_Force,1,1
1,289,731978,2004-02-02,1,63,-1,50,UNLV,Air_Force,0,1
1,296,731992,2004-02-16,1,37,-1,35,UTRGV,Air_Force,0,1
2,19,731980,2004-02-04,1,77,-1,71,Ball_St,Akron,0,0
2,28,731959,2004-01-14,-1,77,1,72,Bowling_Green,Akron,0,0
2,32,731973,2004-01-28,1,89,-1,83,Buffalo,Akron,0,0
2,32,732011,2004-03-06,-1,68,1,60,Buffalo,Akron,0,0
2,46,731906,2003-11-22,1,88,-1,66,Cincinnati,Akron,1,0
2,71,731997,2004-02-21,-1,82,1,78,Drake,Akron,0,0
2,77,731983,2004-02-07,1,77,-1,54,E_Michigan,Akron,0,0
2,130,731976,2004-01-31,1,77,-1,66,Kent,Akron,0,0
2,150,732008,2004-03-03,1,78,-1,68,Marshall,Akron,0,0
2,158,731955,2004-01-10,1,68,-1,60,Miami_OH,Akron,0,0
2,189,731928,2003-12-14,1,64,-1,53,North_Carolina,Akron,1,0
2,198,731990,2004-02-14,1,83,-1,79,Ohio,Akron,0,0
2,272,731962,2004-01-17,1,87,-1,79,Toledo,Akron,0,0
2,307,731948,2004-01-03,-1,83,1,75,W_Michigan,Akron,1,0
3,86,731972,2004-01-27,-1,88,1,78,Florida,Alabama,1,1
3,131,731986,2004-02-10,1,66,-1,55,Kentucky,Alabama,1,1
3,145,731955,2004-01-10,1,70,-1,66,LSU,Alabama,0,1
3,145,731976,2004-01-31,-1,60,1,54,LSU,Alabama,0,1
3,162,731969,2004-01-24,1,71,-1,60,Mississippi,Alabama,0,1
3,163,732011,2004-03-06,-1,82,1,81,Mississippi_St,Alabama,1,1
3,210,731898,2003-11-14,0,71,0,62,Pittsburgh,Alabama,1,1
3,215,731913,2003-11-29,1,76,-1,71,Providence,Alabama,1,1
3,244,731980,2004-02-04,1,90,-1,82,South_Carolina,Alabama,1,1
3,299,731994,2004-02-18,-1,70,1,67,Vanderbilt,Alabama,1,1
3,324,731948,2004-01-03,1,68,-1,47,Xavier,Alabama,1,1
4,5,731990,2004-02-14,-1,73,1,64,Alabama_St,Alabama_A&M,1,0
4,7,731971,2004-01-26,1,70,-1,67,Alcorn_St,Alabama_A&M,0,0
4,76,731944,2003-12-30,1,107,-1,71,E_Kentucky,Alabama_A&M,0,0
4,100,731931,2003-12-17,1,74,-1,41,Georgia_Tech,Alabama_A&M,1,0
